x,j₀(x),j₁(x),j₂(x),j₃(x),y₀(x),y₁(x),j₀_scaled(x),j₁_scaled(x)
0.280000,0.9869844592,0.0926036459,0.0051974610,0.0002081577,-3.4323408511,-13.2453446417,1.0000000000,0.9477333333
0.290000,0.9860421555,0.0958561380,0.0055730652,0.0002311930,-3.3042892259,-12.3801429345,1.0000000000,0.9439333333
0.300000,0.9850673555,0.0991028880,0.0059615249,0.0002558598,-3.1844549638,-11.5999172347,1.0000000000,0.9400000000
0.310000,0.9840601176,0.1023437022,0.0063628067,0.0002822123,-3.0720437738,-10.8938787428,1.0000000000,0.9359333333
0.320000,0.9830205019,0.1055783870,0.0067768763,0.0003103050,-2.9663606815,-10.2528976316,1.0000000000,0.9317333333
0.330000,0.9819485709,0.1088067496,0.0072036981,0.0003401916,-2.8667949804,-9.6692060872,1.0000000000,0.9274000000
0.340000,0.9808443886,0.1120285974,0.0076432356,0.0003719261,-2.7728078398,-9.1361615645,1.0000000000,0.9229333333
0.350000,0.9797080213,0.1152437384,0.0080954510,0.0004055621,-2.6839220367,-8.6480566976,1.0000000000,0.9183333333
0.360000,0.9785395369,0.1184519811,0.0085603057,0.0004411530,-2.5997133991,-8.1999656455,1.0000000000,0.9136000000
0.370000,0.9773390053,0.1216531343,0.0090377596,0.0004787519,-2.5198036368,-7.7876191047,1.0000000000,0.9087333333
0.380000,0.9761064985,0.1248470076,0.0095277719,0.0005184119,-2.4438543041,-7.4073020357,1.0000000000,0.9037333333
0.390000,0.9748420901,0.1280334108,0.0100303005,0.0005601856,-2.3715616919,-7.0557695053,1.0000000000,0.8986000000
0.400000,0.9735458558,0.1312121544,0.0105453024,0.0006041255,-2.3026524850,-6.7301770683,1.0000000000,0.8933333333
0.410000,0.9722178731,0.1343830496,0.0110727333,0.0006502839,-2.2368800557,-6.4280228869,1.0000000000,0.8879333333
0.420000,0.9708582216,0.1375459078,0.0116125481,0.0006987128,-2.1740212865,-6.1470993798,1.0000000000,0.8824000000
0.430000,0.9694669824,0.1407005412,0.0121647004,0.0007494639,-2.1138738365,-5.8854526486,1.0000000000,0.8767333333
0.440000,0.9680442388,0.1438467627,0.0127291429,0.0008025888,-2.0562537800,-5.6413482843,1.0000000000,0.8709333333
0.450000,0.9665900758,0.1469843854,0.0133058272,0.0008581386,-2.0009935608,-5.4132424331,1.0000000000,0.8650000000
0.460000,0.9651045804,0.1501132236,0.0138947037,0.0009161643,-1.9479402120,-5.1997572152,1.0000000000,0.8589333333
0.470000,0.9635878412,0.1532330916,0.0144957220,0.0009767166,-1.8969538047,-4.9996597661,1.0000000000,0.8527333333
0.480000,0.9620399490,0.1563438047,0.0151088305,0.0010398458,-1.8479060891,-4.8118443014,1.0000000000,0.8464000000
0.490000,0.9604609963,0.1594451789,0.0157339765,0.0011056022,-1.8006793033,-4.6353167173,1.0000000000,0.8399333333
0.500000,0.9588510772,0.1625370306,0.0163711066,0.0011740354,-1.7551651238,-4.4691813248,1.0000000000,0.8333333333
0.510000,0.9572102880,0.1656191772,0.0170201660,0.0012451951,-1.7112637405,-4.3126293870,1.0000000000,0.8266000000
0.520000,0.9555387266,0.1686914364,0.0176810989,0.0013191304,-1.6688830378,-4.1649291840,1.0000000000,0.8197333333
0.530000,0.9538364928,0.1717536270,0.0183538488,0.0013958902,-1.6279378689,-4.0254173775,1.0000000000,0.8127333333
0.540000,0.9521036882,0.1748055683,0.0190383579,0.0014755231,-1.5883494099,-3.8934914844,1.0000000000,0.8056000000
0.550000,0.9503404162,0.1778470803,0.0197345673,0.0015580774,-1.5500445856,-3.7686032991,1.0000000000,0.7983333333
0.560000,0.9485467820,0.1808779839,0.0204424175,0.0016436009,-1.5129555554,-3.6502531309,1.0000000000,0.7909333333
0.570000,0.9467228925,0.1838981006,0.0211618476,0.0017321414,-1.4770192547,-3.5379847428,1.0000000000,0.7834000000
0.580000,0.9448688565,0.1869072528,0.0218927959,0.0018237460,-1.4421769826,-3.4313808955,1.0000000000,0.7757333333
0.590000,0.9429847846,0.1899052636,0.0226351996,0.0019184617,-1.4083740324,-3.3300594157,1.0000000000,0.7679333333
0.600000,0.9410707890,0.1928919568,0.0233889950,0.0020163351,-1.3755593582,-3.2336697193,1.0000000000,0.7600000000
0.610000,0.9391269838,0.1958671573,0.0241541175,0.0021174123,-1.3436852752,-3.1418897299,1.0000000000,0.7519333333
0.620000,0.9371534847,0.1988306904,0.0249305013,0.0022217392,-1.3127071882,-3.0544231431,1.0000000000,0.7437333333
0.630000,0.9351504094,0.2017823827,0.0257180798,0.0023293614,-1.2825833465,-2.9709969912,1.0000000000,0.7354000000
0.640000,0.9331178771,0.2047220613,0.0265167853,0.0024403239,-1.2532746217,-2.8913594735,1.0000000000,0.7269333333
0.650000,0.9310560088,0.2076495543,0.0273265493,0.0025546715,-1.2247443055,-2.8152780172,1.0000000000,0.7183333333
0.660000,0.9289649272,0.2105646905,0.0281473023,0.0026724485,-1.1969579265,-2.7425375432,1.0000000000,0.7096000000
0.670000,0.9268447568,0.2134672998,0.0289789738,0.0027936990,-1.1698830834,-2.6729389111,1.0000000000,0.7007333333
0.680000,0.9246956236,0.2163572129,0.0298214924,0.0029184664,-1.1434892923,-2.6062975240,1.0000000000,0.6917333333
0.690000,0.9225176554,0.2192342614,0.0306747857,0.0030467941,-1.1177478478,-2.5424420725,1.0000000000,0.6826000000
0.700000,0.9203109818,0.2220982778,0.0315387804,0.0031787249,-1.0926316961,-2.4812134048,1.0000000000,0.6733333333
0.710000,0.9180757338,0.2249490956,0.0324134023,0.0033143010,-1.0681153183,-2.4224635061,1.0000000000,0.6639333333
0.720000,0.9158120444,0.2277865490,0.0332985763,0.0034535645,-1.0441746238,-2.3660545775,1.0000000000,0.6544000000
